Depth,Call Numerical,Call BS,Call error,Put Numerical,Put BS,Put error
410,0.812886,0.814219,0.001334,3.709811,3.711144,0.001334
420,0.812918,0.814219,0.001302,3.709843,3.711144,0.001302
430,0.812948,0.814219,0.001272,3.709873,3.711144,0.001272
440,0.812977,0.814219,0.001243,3.709902,3.711144,0.001243
450,0.813004,0.814219,0.001215,3.709929,3.711144,0.001215
460,0.813031,0.814219,0.001189,3.709956,3.711144,0.001189
470,0.813056,0.814219,0.001163,3.709981,3.711144,0.001163
480,0.813080,0.814219,0.001139,3.710005,3.711144,0.001139
490,0.813104,0.814219,0.001116,3.710029,3.711144,0.001116
500,0.813126,0.814219,0.001094,3.710051,3.711144,0.001094
510,0.813147,0.814219,0.001072,3.710072,3.711144,0.001072
520,0.813168,0.814219,0.001051,3.710093,3.711144,0.001051
530,0.813188,0.814219,0.001032,3.710113,3.711144,0.001032
540,0.813207,0.814219,0.001013,3.710132,3.711144,0.001013
550,0.813225,0.814219,0.000994,3.710150,3.711144,0.000994
560,0.813243,0.814219,0.000976,3.710168,3.711144,0.000976
570,0.813260,0.814219,0.000959,3.710185,3.711144,0.000959
580,0.813277,0.814219,0.000943,3.710202,3.711144,0.000943
590,0.813293,0.814219,0.000927,3.710218,3.711144,0.000927
600,0.813308,0.814219,0.000911,3.710233,3.711144,0.000911
610,0.813323,0.814219,0.000896,3.710248,3.711144,0.000896
620,0.813338,0.814219,0.000882,3.710262,3.711144,0.000882
630,0.813352,0.814219,0.000868,3.710276,3.711144,0.000868
640,0.813365,0.814219,0.000854,3.710290,3.711144,0.000854
650,0.813378,0.814219,0.000841,3.710303,3.711144,0.000841
660,0.813391,0.814219,0.000828,3.710316,3.711144,0.000828
670,0.813403,0.814219,0.000816,3.710328,3.711144,0.000816
680,0.813415,0.814219,0.000804,3.710340,3.711144,0.000804
690,0.813427,0.814219,0.000792,3.710352,3.711144,0.000792
700,0.813438,0.814219,0.000781,3.710363,3.711144,0.000781
710,0.813449,0.814219,0.000770,3.710374,3.711144,0.000770
